client_no,window_size,speed,dataSent,dataReceived,time,segsSent,segsReceived,segsDropped,segsDropRate,maxTimeout,minTimeout,maxWindow,minWindow
2,2,1832,23805976,20971520,91393,16174,14306,1868,0.12,33307,11333,2,2
2,3,2528,25195544,20971520,66205,17118,14306,2812,0.16,35221,10953,3,3
2,4,3136,26351856,20971520,53398,17905,14306,3599,0.2,34493,10714,4,4
2,5,3784,27217392,20971520,44290,18493,14306,4187,0.23,35136,10732,5,5
2,6,2128,8838,8796,33,7,6,1,0.14,20000,20000,6,6
2,7,4520,30386212,20971520,37068,20645,14306,6339,0.31,34665,10624,7,7
2,8,5064,30867556,20971520,33112,20972,14306,6666,0.32,35500,10351,8,8
2,9,5440,32325912,20971520,30812,21962,14306,7656,0.35,34832,10380,9,9
2,10,4760,38751588,20971520,35212,26328,14306,12022,0.46,37516,10320,10,10
2,11,4856,41161252,20971520,34535,27965,14306,13659,0.49,36771,10397,11,11
2,12,4728,45462832,20971520,35432,30888,14306,16582,0.54,39158,9954,12,12
2,13,4864,47108528,20971520,34474,32006,14306,17700,0.55,41253,10475,13,13
2,14,4816,49617496,20971520,34782,33709,14306,19403,0.58,42649,10170,14,14
2,15,4864,52114120,20971520,34474,35408,14306,21102,0.6,37456,10220,15,15
2,16,4936,52995056,20971520,33980,36005,14306,21699,0.6,42099,9949,16,16
2,17,4944,56996348,20971520,33886,38724,14306,24418,0.63,38016,10032,17,17
2,18,5144,57136980,20971520,32614,38821,14306,24515,0.63,36687,10011,18,18
2,19,5024,60446432,20971520,33348,41070,14306,26764,0.65,42882,10266,19,19
2,20,4832,64143588,20971520,34711,43578,14306,29272,0.67,38511,10471,20,20
2,21,24624,30912,30786,10,21,21,0,0.0,20000,20000,21,21
2,22,4848,68092568,20971520,34559,46260,14306,31954,0.69,42063,10477,22,22
2,23,4992,69594912,20971520,33587,47285,14306,32979,0.7,44773,10087,23,23
2,24,4992,72295636,20971520,33602,49119,14306,34813,0.71,35585,10365,24,24
2,25,5072,74026424,20971520,33041,50297,14306,35991,0.72,36541,10405,25,25
2,26,5016,76859232,20971520,33445,52220,14306,37914,0.73,37046,10290,26,26
2,27,4888,79526608,20971520,34284,54035,14306,39729,0.74,51480,10036,27,27
2,28,5064,79673696,20971520,33093,54132,14306,39826,0.74,42972,10319,28,28
2,29,4968,82093948,20971520,33718,55774,14306,41468,0.74,38105,10209,29,29
2,30,4920,85796932,20971520,34090,58294,14306,43988,0.75,42132,10308,30,30
2,31,4968,87832312,20971520,33767,59676,14306,45370,0.76,36932,10007,31,31
2,32,4960,89376156,20971520,33815,60727,14306,46421,0.76,37447,9909,32,32
