client_no,window_size,speed,dataSent,dataReceived,time,segsSent,segsReceived,segsDropped,segsDropRate
1,69,62368,43746876,20971520,2690,29723,14306,15417,0.52,42803,3252,69,69
1,70,59152,43074568,20971520,2836,29267,14306,14961,0.51,40700,3398,70,70
1,71,62000,44455304,20971520,2706,30205,14306,15899,0.53,41334,2910,71,71
1,72,53192,41893232,20971520,3154,28463,14306,14157,0.5,48330,3210,72,72
1,73,52808,44609184,20971520,3177,30311,14306,16005,0.53,44161,3072,73,73
1,74,53648,44126652,20971520,3127,29981,14306,15675,0.52,50995,2966,74,74
1,75,52264,43912136,20971520,3210,29836,14306,15530,0.52,42471,3204,75,75
1,76,40096,40826428,20971520,4184,27739,14306,13433,0.48,43706,3386,76,76
1,77,67648,47002148,20971520,2480,31933,14306,17627,0.55,43056,3117,77,77
1,78,74232,46663700,20971520,2260,31706,14306,17400,0.55,42432,3405,78,78
1,79,72440,47217456,20971520,2316,32080,14306,17774,0.55,42763,3220,79,79
1,80,61008,44593276,20971520,2750,30298,14306,15992,0.53,43880,3656,80,80
1,81,69584,47485756,20971520,2411,32263,14306,17957,0.56,41987,3408,81,81
1,82,58968,44425864,20971520,2845,30185,14306,15879,0.53,47159,3098,82,82
1,83,52344,46626900,20971520,3205,31681,14306,17375,0.55,43392,3431,83,83
1,84,51792,45835472,20971520,3239,31147,14306,16841,0.54,42013,3598,84,84
1,85,46648,46085488,20971520,3596,31311,14306,17005,0.54,48964,3611,85,85
1,86,52640,46607480,20971520,3187,31670,14306,17364,0.55,51391,3706,86,86
1,87,52000,48285448,20971520,3226,32807,14306,18501,0.56,43948,3455,87,87
1,88,1032064,129536,129008,1,88,88,0,0.0,20000,20000,88,88
1,89,67216,49831444,20971520,2496,33858,14306,19552,0.58,45072,3317,89,89
1,90,56584,48891344,20971520,2965,33223,14306,18917,0.57,44738,3701,90,90
1,91,57472,48298300,20971520,2919,32815,14306,18509,0.56,44015,4052,91,91
1,92,47888,46476360,20971520,3503,31578,14306,17272,0.55,42709,3704,92,92
1,93,68448,50060680,20971520,2451,34013,14306,19707,0.58,42729,3438,93,93
1,94,54928,49321340,20971520,3054,33510,14306,19204,0.57,43780,4082,94,94
1,95,67400,51700488,20971520,2489,35127,14306,20821,0.59,44193,3689,95,95
1,96,50912,49628988,20971520,3295,33719,14306,19413,0.58,43978,3981,96,96
1,97,58760,49565804,20971520,2855,33679,14306,19373,0.58,43869,4184,97,97
1,98,47320,48950792,20971520,3545,33259,14306,18953,0.57,41310,4350,98,98
1,99,51856,51088248,20971520,3235,34714,14306,20408,0.59,42033,3719,99,99
1,100,64080,55110320,20971520,2618,37442,14306,23136,0.62,43593,4140,100,100
1,101,59848,56747692,20971520,2803,38558,14306,24252,0.63,39501,4262,101,101
1,102,57688,55078728,20971520,2908,37422,14306,23116,0.62,43823,4066,102,102
1,103,53056,54699632,20971520,3162,37163,14306,22857,0.62,40777,4056,103,103
1,104,53840,54545468,20971520,3116,37059,14306,22753,0.61,43876,4518,104,104
1,105,47152,54836924,20971520,3558,37257,14306,22951,0.62,48166,4052,105,105
1,106,46536,59643116,20971520,3605,40525,14306,26219,0.65,44625,3623,106,106
1,107,45920,57604396,20971520,3653,39140,14306,24834,0.63,42988,3923,107,107
1,108,44360,56831596,20971520,3782,38615,14306,24309,0.63,46609,4362,108,108
1,109,48384,58185836,20971520,3467,39535,14306,25229,0.64,45395,4064,109,109
1,110,44696,58144112,20971520,3753,39503,14306,25197,0.64,44307,4682,110,110
